Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
oppo-a79-5g-128gb,Oppo A79 5G 128GB,"<p>Affordable 5G with a big battery — strong wholesale margins.</p><table><tbody><tr><th>Display</th><td>6.72"" FHD+ 90Hz</td></tr><tr><th>Chip</th><td>Dimensity 6020</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Camera</th><td>50MP main</td></tr><tr><th>Battery</th><td>5000mAh 33W</td></tr><tr><th>Audio</th><td>Stereo speakers</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;219.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;189.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Oppo,Smartphone,"Oppo, Oppo, Smartphone",TRUE,Title,Default Title,SHK-O-011,shopify,25,deny,manual,219.00,249.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Oppo+A79+5G+128GB,Oppo A79 5G 128GB,FALSE,Oppo A79 5G 128GB | Shak Distributors,Affordable 5G with a big battery — strong wholesale margins.,active
find-n3-flip-256gb,Find N3 Flip 256GB,"<p>Triple-camera flip foldable with a versatile cover display.</p><table><tbody><tr><th>Display</th><td>6.8"" foldable AMOLED 120Hz</td></tr><tr><th>Chip</th><td>Dimensity 9200</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Camera</th><td>50MP + 48MP + 32MP</td></tr><tr><th>Battery</th><td>4300mAh 44W</td></tr><tr><th>Form</th><td>Clamshell fold</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;849.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;749.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Oppo,Smartphone,"Oppo, Oppo, Smartphone",TRUE,Title,Default Title,SHK-O-012,shopify,25,deny,manual,849.00,999.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Find+N3+Flip+256GB,Find N3 Flip 256GB,FALSE,Find N3 Flip 256GB | Shak Distributors,Triple-camera flip foldable with a versatile cover display.,active
huawei-p60-pro-256gb,Huawei P60 Pro 256GB,"<p>Ultra-lighting XMAGE camera system with a striking design.</p><table><tbody><tr><th>Display</th><td>6.67"" LTPO OLED 120Hz</td></tr><tr><th>Chip</th><td>Snapdragon 8+ Gen 1 (4G)</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Camera</th><td>48MP variable + 48MP tele + 13MP</td></tr><tr><th>Battery</th><td>4815mAh 88W</td></tr><tr><th>Note</th><td>No Google services</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;899.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;799.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Huawei,Smartphone,"Huawei, Huawei, Smartphone",TRUE,Title,Default Title,SHK-H-013,shopify,25,deny,manual,899.00,1099.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Huawei+P60+Pro+256GB,Huawei P60 Pro 256GB,FALSE,Huawei P60 Pro 256GB | Shak Distributors,Ultra-lighting XMAGE camera system with a striking design.,active
huawei-mate-50-pro-256gb,Huawei Mate 50 Pro 256GB,"<p>Flagship with variable aperture camera and premium glass build.</p><table><tbody><tr><th>Display</th><td>6.74"" OLED 120Hz</td></tr><tr><th>Chip</th><td>Snapdragon 8+ Gen 1 (4G)</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Camera</th><td>50MP variable + 64MP tele + 13MP</td></tr><tr><th>Battery</th><td>4700mAh 66W</td></tr><tr><th>Note</th><td>No Google services</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;799.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;709.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Huawei,Smartphone,"Huawei, Huawei, Smartphone",TRUE,Title,Default Title,SHK-H-014,shopify,25,deny,manual,799.00,949.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Huawei+Mate+50+Pro+256GB,Huawei Mate 50 Pro 256GB,FALSE,Huawei Mate 50 Pro 256GB | Shak Distributors,Flagship with variable aperture camera and premium glass build.,active
huawei-nova-12-128gb,Huawei Nova 12 128GB,"<p>Stylish mid-ranger with fast charging and a sharp selfie camera.</p><table><tbody><tr><th>Display</th><td>6.7"" OLED 120Hz</td></tr><tr><th>Chip</th><td>Snapdragon 778G (4G)</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Camera</th><td>50MP main + 60MP selfie</td></tr><tr><th>Battery</th><td>4600mAh 66W</td></tr><tr><th>Build</th><td>Slim glass</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;379.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;329.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Huawei,Smartphone,"Huawei, Huawei, Smartphone",TRUE,Title,Default Title,SHK-H-015,shopify,25,deny,manual,379.00,429.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Huawei+Nova+12+128GB,Huawei Nova 12 128GB,FALSE,Huawei Nova 12 128GB | Shak Distributors,Stylish mid-ranger with fast charging and a sharp selfie camera.,active
huawei-mate-x3-512gb,Huawei Mate X3 512GB,"<p>Ultra-thin book-style foldable flagship for premium customers.</p><table><tbody><tr><th>Display</th><td>7.85"" foldable OLED + 6.4"" cover</td></tr><tr><th>Chip</th><td>Snapdragon 8+ Gen 1 (4G)</td></tr><tr><th>Storage</th><td>512GB</td></tr><tr><th>Camera</th><td>50MP + 13MP + 12MP tele</td></tr><tr><th>Battery</th><td>4800mAh 66W</td></tr><tr><th>Form</th><td>Book fold</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,799.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;1,599.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Huawei,Smartphone,"Huawei, Huawei, Smartphone",TRUE,Title,Default Title,SHK-H-016,shopify,25,deny,manual,1799.00,1999.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Huawei+Mate+X3+512GB,Huawei Mate X3 512GB,FALSE,Huawei Mate X3 512GB | Shak Distributors,Ultra-thin book-style foldable flagship for premium customers.,active
ipad-pro-11-m4-256gb,"iPad Pro 11"" M4 256GB","<p>The thinnest Apple device ever with the blazing M4 chip and Ultra Retina XDR.</p><table><tbody><tr><th>Display</th><td>11"" Ultra Retina XDR OLED 120Hz</td></tr><tr><th>Chip</th><td>Apple M4</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Connectivity</th><td>Wi-Fi 6E</td></tr><tr><th>Accessory</th><td>Apple Pencil Pro support</td></tr><tr><th>Build</th><td>Aluminium, USB-C</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;999.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;889.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Tablet,"Tablets, Apple, Tablet",TRUE,Title,Default Title,SHK-T-017,shopify,25,deny,manual,999.00,1049.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=iPad+Pro+11%22+M4+256GB,"iPad Pro 11"" M4 256GB",FALSE,"iPad Pro 11"" M4 256GB | Shak Distributors",The thinnest Apple device ever with the blazing M4 chip and Ultra Retina XDR.,active
ipad-air-11-m2-128gb,"iPad Air 11"" M2 128GB","<p>Powerful, portable iPad Air with the M2 chip for work and play.</p><table><tbody><tr><th>Display</th><td>11"" Liquid Retina</td></tr><tr><th>Chip</th><td>Apple M2</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Connectivity</th><td>Wi-Fi 6E</td></tr><tr><th>Accessory</th><td>Apple Pencil Pro support</td></tr><tr><th>Build</th><td>Aluminium, USB-C</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;599.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;529.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Tablet,"Tablets, Apple, Tablet",TRUE,Title,Default Title,SHK-T-018,shopify,25,deny,manual,599.00,649.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=iPad+Air+11%22+M2+128GB,"iPad Air 11"" M2 128GB",FALSE,"iPad Air 11"" M2 128GB | Shak Distributors","Powerful, portable iPad Air with the M2 chip for work and play.",active
galaxy-tab-s9-128gb,Galaxy Tab S9 128GB,"<p>Premium AMOLED Android tablet with S Pen included and IP68 rating.</p><table><tbody><tr><th>Display</th><td>11"" Dynamic AMOLED 2X 120Hz</td></tr><tr><th>Chip</th><td>Snapdragon 8 Gen 2</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Extras</th><td>S Pen included, IP68</td></tr><tr><th>Battery</th><td>8400mAh</td></tr><tr><th>Audio</th><td>AKG quad speakers</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;649.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;575.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Samsung,Tablet,"Tablets, Samsung, Tablet",TRUE,Title,Default Title,SHK-T-019,shopify,25,deny,manual,649.00,749.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Galaxy+Tab+S9+128GB,Galaxy Tab S9 128GB,FALSE,Galaxy Tab S9 128GB | Shak Distributors,Premium AMOLED Android tablet with S Pen included and IP68 rating.,active
huawei-matepad-115-128gb,"Huawei MatePad 11.5"" 128GB","<p>Great-value productivity tablet with a smooth 120Hz display.</p><table><tbody><tr><th>Display</th><td>11.5"" IPS 120Hz</td></tr><tr><th>Chip</th><td>Snapdragon 7 Gen 1</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Battery</th><td>7700mAh</td></tr><tr><th>Audio</th><td>Quad speakers</td></tr><tr><th>Note</th><td>No Google services</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;329.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;289.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Huawei,Tablet,"Tablets, Huawei, Tablet",TRUE,Title,Default Title,SHK-T-020,shopify,25,deny,manual,329.00,379.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Huawei+MatePad+11.5%22+128GB,"Huawei MatePad 11.5"" 128GB",FALSE,"Huawei MatePad 11.5"" 128GB | Shak Distributors",Great-value productivity tablet with a smooth 120Hz display.,active
apple-watch-series-9-gps-45mm,Apple Watch Series 9 GPS 45mm,"<p>Brighter display, double-tap gesture and full health tracking.</p><table><tbody><tr><th>Case</th><td>45mm aluminium</td></tr><tr><th>Display</th><td>Always-On Retina up to 2000 nits</td></tr><tr><th>Chip</th><td>S9 SiP</td></tr><tr><th>Health</th><td>ECG, blood oxygen, temperature</td></tr><tr><th>Battery</th><td>Up to 18h</td></tr><tr><th>Water</th><td>50m</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;429.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;379.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Smartwatch,"Watches, Apple, Smartwatch",TRUE,Title,Default Title,SHK-W-021,shopify,25,deny,manual,429.00,459.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Apple+Watch+Series+9+GPS+45mm,Apple Watch Series 9 GPS 45mm,FALSE,Apple Watch Series 9 GPS 45mm | Shak Distributors,"Brighter display, double-tap gesture and full health tracking.",active
apple-watch-ultra-2-49mm,Apple Watch Ultra 2 49mm,"<p>Rugged titanium adventure watch with the brightest Apple display.</p><table><tbody><tr><th>Case</th><td>49mm titanium</td></tr><tr><th>Display</th><td>Always-On up to 3000 nits</td></tr><tr><th>Chip</th><td>S9 SiP</td></tr><tr><th>Health</th><td>ECG, depth gauge, dual-frequency GPS</td></tr><tr><th>Battery</th><td>Up to 36h</td></tr><tr><th>Water</th><td>100m, EN13319</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;799.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;709.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Smartwatch,"Watches, Apple, Smartwatch",TRUE,Title,Default Title,SHK-W-022,shopify,25,deny,manual,799.00,849.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Apple+Watch+Ultra+2+49mm,Apple Watch Ultra 2 49mm,FALSE,Apple Watch Ultra 2 49mm | Shak Distributors,Rugged titanium adventure watch with the brightest Apple display.,active
